,bike_id,is_disabled,is_reserved,jump_ebike_battery_level,lat,lon,name,datetime
0,bike_23360,0,0,58%,36.986648333333335,-122.02912166666667,1391,1540254357
1,bike_23366,0,0,72%,36.967843333333334,-121.99968833333334,1497,1540254357
2,bike_21411,0,0,81%,36.974025,-122.040195,1341,1540254357
3,bike_23338,0,0,78%,36.970866666666666,-122.01785,1393,1540254357
4,bike_20799,0,0,72%,36.98144,-122.00018166666666,0958,1540254357
5,bike_21415,0,0,66%,36.978271666666664,-122.04573,1358,1540254357
6,bike_20631,0,0,30%,36.980781666666665,-122.023495,0907,1540254357
7,bike_21407,0,0,80%,36.984743333333334,-122.03346833333333,1330,1540254357
8,bike_23335,0,0,71%,36.97873,-122.02037333333334,1404,1540254357
9,bike_23347,0,0,61%,36.98057,-122.00364333333333,1554,1540254357
10,bike_23364,0,0,71%,36.94910333333333,-122.04955666666666,1517,1540254357
11,bike_26976,0,0,62%,36.96892666666667,-122.021055,1264,1540254357
12,bike_20653,0,0,50%,36.96745833333333,-122.01277166666667,0945,1540254357
13,bike_20665,0,0,86%,36.972525,-122.026505,0904,1540254357
14,bike_23355,0,0,76%,36.97552833333334,-122.02662,1537,1540254357
15,bike_21402,0,0,65%,36.974873333333335,-122.02473333333333,1292,1540254357
16,bike_23373,0,0,68%,36.96513,-122.00825166666667,1530,1540254357
17,bike_20802,0,0,52%,36.95509,-122.05024666666667,0965,1540254357
18,bike_23279,0,0,92%,36.96425833333333,-122.038305,1481,1540254357
19,bike_23351,0,0,61%,36.962285,-122.02534666666666,1470,1540254357
20,bike_23312,0,0,72%,36.98195833333333,-121.99694166666667,1362,1540254357
21,bike_23398,0,0,75%,36.96624666666666,-122.044895,1506,1540254357
22,bike_20645,0,0,81%,36.980943333333336,-122.01209166666666,0936,1540254357
23,bike_20647,0,0,46%,36.97907166666667,-122.01838666666667,0938,1540254357
24,bike_21175,0,0,84%,36.966606666666664,-122.008115,0993,1540254357
25,bike_21194,0,0,70%,36.98120333333333,-122.00447333333334,0863,1540254357
26,bike_20666,0,0,56%,36.966103333333336,-122.01820166666667,0910,1540254357
27,bike_20663,0,0,68%,36.958713333333336,-122.04860333333333,0905,1540254357
28,bike_20656,0,0,64%,36.989493333333336,-122.00919166666667,0948,1540254357
29,bike_20795,0,0,29%,36.97649833333333,-122.01678833333334,0896,1540254357
30,bike_23380,0,0,79%,36.96822,-122.05796333333333,1579,1540254357
31,bike_23328,0,0,71%,36.98673,-122.02102333333333,1489,1540254357
32,bike_23301,0,0,39%,36.99160833333333,-121.99798333333334,1377,1540254357
33,bike_21408,0,0,53%,36.954755,-122.03572,1333,1540254357
34,bike_23281,0,0,33%,36.9587,-122.04858666666667,1285,1540254357
35,bike_23385,0,0,93%,36.97062,-122.01892833333333,1542,1540254357
36,bike_20646,0,0,75%,36.987296666666666,-122.000345,0937,1540254357
37,bike_21273,0,0,97%,36.970573333333334,-122.018025,1274,1540254357
38,bike_23289,0,0,70%,36.971288333333334,-122.02017166666667,1475,1540254357
39,bike_20845,0,0,71%,36.96304,-122.05182333333333,0866,1540254357
40,bike_21182,0,0,56%,36.967893333333336,-122.006645,1263,1540254357
41,bike_23329,0,0,56%,36.95032333333333,-122.05619833333333,1294,1540254357
42,bike_21188,0,0,56%,36.9501,-122.05279666666667,1315,1540254357
43,bike_23323,0,0,72%,36.97619666666667,-122.02979,1557,1540254357
44,bike_23365,0,0,35%,36.99104333333333,-122.01995,1553,1540254357
45,bike_20807,0,0,35%,36.96975666666667,-122.02505666666667,1354,1540254357
46,bike_20800,0,0,27%,36.974756666666664,-122.02470666666666,0960,1540254357
47,bike_21195,0,0,84%,36.961725,-122.05898833333333,0873,1540254357
48,bike_21173,0,0,64%,36.96686166666667,-122.022635,0980,1540254357
49,bike_21225,0,0,27%,36.986648333333335,-122.02915166666666,1251,1540254357
50,bike_20652,0,0,69%,36.98424,-121.98670333333334,0944,1540254357
51,bike_23337,0,0,57%,36.96382666666667,-122.037455,1523,1540254357
52,bike_20638,0,0,37%,36.965131666666665,-122.00825166666667,0929,1540254357
53,bike_23363,0,0,30%,36.967585,-122.02711666666667,1389,1540254357
54,bike_23340,0,0,85%,36.95652166666667,-122.04184333333333,1526,1540254357
55,bike_21184,0,0,62%,36.95892333333333,-122.04568666666667,1267,1540254357
56,bike_20784,0,0,62%,36.96891,-122.02108666666666,0877,1540254357
57,bike_23311,0,0,91%,36.97067333333333,-122.019675,1462,1540254357
58,bike_20797,0,0,85%,36.983585,-121.98476166666667,0953,1540254357
59,bike_20771,0,0,32%,36.970915,-122.031945,1396,1540254357
60,bike_21275,0,0,78%,36.96525166666667,-122.02196,1277,1540254357
61,bike_23303,0,0,42%,36.98011666666667,-122.010155,1403,1540254357
