,bike_id,is_disabled,is_reserved,jump_ebike_battery_level,lat,lon,name,datetime
0,bike_23366,0,0,72%,36.967843333333334,-121.99968833333334,1497,1540275791
1,bike_23360,0,0,58%,36.986648333333335,-122.02912166666667,1391,1540275791
2,bike_23338,0,0,78%,36.970866666666666,-122.01785,1393,1540275791
3,bike_21411,0,0,78%,36.974025,-122.040195,1341,1540275791
4,bike_20799,0,0,67%,36.976315,-121.97773166666667,0958,1540275791
5,bike_20631,0,0,30%,36.980781666666665,-122.023495,0907,1540275791
6,bike_21415,0,0,63%,36.97278166666667,-122.04713833333334,1358,1540275791
7,bike_21407,0,0,67%,36.95301,-122.05224333333334,1330,1540275791
8,bike_20665,0,0,67%,36.95785166666667,-122.02827333333333,0904,1540275791
9,bike_23335,0,0,71%,36.956015,-122.03936333333333,1404,1540275791
10,bike_23388,0,0,63%,36.95104166666667,-122.056745,1399,1540275791
11,bike_23339,0,0,64%,36.97158833333334,-122.02166666666666,1343,1540275791
12,bike_23347,0,0,44%,36.96334,-122.00102333333334,1554,1540275791
13,bike_21406,0,0,38%,36.96893166666667,-122.02107,1301,1540275791
14,bike_26976,0,0,48%,36.96064666666667,-122.03566666666667,1264,1540275791
15,bike_23364,0,0,64%,36.96064666666667,-122.056595,1517,1540275791
16,bike_23355,0,0,50%,36.96758333333333,-122.032285,1537,1540275791
17,bike_20787,0,0,48%,36.964505,-122.007765,0884,1540275791
18,bike_21221,0,0,90%,36.96582166666666,-122.02342166666666,0911,1540275791
19,bike_21276,0,0,81%,36.97158833333334,-122.02166666666666,1278,1540275791
20,bike_20653,0,0,48%,36.96745833333333,-122.01277166666667,0945,1540275791
21,bike_23330,0,0,93%,36.97135,-122.03414666666667,1473,1540275791
22,bike_20662,0,0,91%,36.980435,-122.01741666666666,1388,1540275791
23,bike_23399,0,0,86%,36.98330833333333,-122.04543,1540,1540275791
24,bike_23312,0,0,44%,36.96931333333333,-122.02965166666667,1362,1540275791
25,bike_21225,0,0,27%,36.986648333333335,-122.02915166666666,1251,1540275791
26,bike_21277,0,0,65%,36.95879333333333,-122.02872166666667,1279,1540275791
27,bike_21195,0,0,66%,36.98863,-122.02691666666666,0873,1540275791
28,bike_21175,0,0,78%,36.966606666666664,-122.008115,0993,1540275791
29,bike_20660,0,0,67%,36.98600833333333,-122.01995666666667,0902,1540275791
30,bike_20666,0,0,56%,36.966103333333336,-122.01820166666667,0910,1540275791
31,bike_20663,0,0,59%,36.96590666666667,-122.02113833333334,0905,1540275791
32,bike_20840,0,0,57%,36.95104333333333,-122.05661666666667,0890,1540275791
33,bike_21173,0,0,53%,36.98399833333333,-121.9913,0980,1540275791
34,bike_20804,0,0,68%,36.988686666666666,-122.02645166666667,1486,1540275791
